Name,Location,Habitat,Colors,Size(m),Lifestyle,Mobility
bear, , deciduous forest-pine forest-mountains, Black-brown-white, 1.2-3.3, daylight,four legs
Bearded Collie, Great Britain,domestic , White-Black-Brown-beige-Grey, , daylight,four legs
bearded dragon, , savanna-desert, Green-Yellow-Brown-Grey, 0.50-0.61, ,four legs
beaver, Canada, deciduous forest-pine forest-wetlands-river, Brown-Grey, 0.80-1.20, nocturnal, tail-four legs
Bedlington Terrier, Great Britain, domestic, Red-White-Blue-Brown-beige-Black, , ,four legs
Beetle, , river-grassland-savanna-desert-tropical rainforest-deciduous forest-pine forest-swamp-domestic-tropical islands-wetlands, Brown-Black-Red-Yellow-Green-Blue, 0.01-0.025, ,wings-four legs
bengal tiger, , tropical rainforest, Orange-Black-White, 2.4-3.3, twilight-nocturnal,four legs
Bernese Mountain Dog, Switzerland, domestic, Black-White-beige, , daytime,four legs
Bichon Frise, France, domestic, White, ,daytime ,four legs
Binturong, ,tropical rainforest, Black-Brown-Grey, 0.60-0.96, Nocturnal-twilight,four legs
Birman, Burma, domestic, Brown-Black, , , four legs
bison, , decidious forest-pine forest, Brown-beige, 2-2.7, , four legs
Black Bear, ,decidious forest-pine forest , Black-Dark Brown-beige, 1.3-1.8, Nocturnal,
black rhinoceros, , wetlands-savanna-grassland, Brown-Grey-White, , ,four legs
Black Russian Terrier, Russia,domestic , Black-Grey, , , four legs
Black Widow Spider, , tropical rainforest-decidious forest-pine forest, Brown-Black-Red, 0.013-0.038, ,many legs
Bloodhound, Belgium, domestic , Brown  beige-Black, , , four legs
Blue Lacy Dog, North America, domestic, Blue-Grey-White-Brown--beige, , , four legs
Blue Whale, , polar regions-saltwater, Grey-Blue-White-Black, 25-30, daytime, fins-tail
Bluetick Coonhound, North America,domestic , Black-White-Grey, , , four legs
Bobcat, , Mountains , Beige-Brown-Red-Black-White, 0.65-1, Nocturnal-twilight,
Bolognese Dog, Italy, domestic, White, , , four legs
Bombay, North America, domestic, Brown-Black, , , four legs
Bongo, , decidious forest, Orange-Red-White-Brown-Black, 1.7-2.5, daytime, four legs
bonobo, , tropical rainforest-swamp, Black-Grey-Brown, 0.73-0.90, ,two legs-amrs-tail
booby, , tropical islands, Brown-Black-White-Grey-Blue, 0.64-0.91, ,two legs-wings
Border Collie, Great Britain,domestic , Black-White-Brown, , , four legs
Border Terrier, Great Britain, dog, beige-Black-Brown-Grey, , , four legs
Bornean Orang utan, , tropical rainforest-swamp, Red-Orange-Brown-Grey-Black, 1.25-1.5, daytime,
Elephant, , savanna, Grey-Brown-Black, 2-3, ,four legs
Boston Terrier, North America, domestic , Black-Red-Brown-White-beige-Grey, , , four legs
bottle nosed dolphin, , saltwater, grey, 2.5-4, , fins-tail
Boxer Dog, Germany, domestic, beige-Black-Brown, , , four legs
Boykin Spaniel, North America, domestic , Brown-Black-beige-White, , , four legs
Brazilian Terrier, Brazil, , Black-Brown-beige-White, , , 
brown bear, , Forest-mountainous regions, Brown-Black-beige, 1.5m-2.8m, , 
budgerigar, , Open woodland-grassland near water, Black-White-Grey-Green-Blue-Yellow, 15cm-20cm, Flock, 
buffalo, , Woodland-grass pastures, Brown-Grey-Black, 1.7m-1.8m, Herd, 
BullMastiff, Great Britain, , Brown-Black-beige-Fawn-Cream, , , 
bull shark, , Shallow-tropical waters, Blue-Grey, 2.1m-3.5m, , fins
Bull Terrier, Great Britain, , Black-Brown-beige-White, , , 
Bulldog, Great Britain, , beige-Fawn-White-Brown-Black, , , 
bullfrog, , Lakes  ponds  rivers-streams, Black-Green-Grey-Brown-Yellow, 9cm-15cm, , leg
Bumble Bee, , Quiet forests-pastures, Yellow-Black-Orange, 1.9-3.8cm, , 
Burmese, Burma, , Brown-Black-Blue-Lilac-Cream-Ginger, , , 
burrowing frog, , Forests  rivers-swamp, Black-Green-Grey-Brown-Yellow, 6cm-10cm, , 
Butterfly, , Quiet forests-pastures, Yellow-Black-Orange-Red-Green-Blue-White, 0.6-30cm, , 
Butterfly fish, Atlantic  Indian  Pacific Oceans, Tropical coral reefs, Black-White-Yellow-Orange-Silver, 7cm-15cm, , 
caiman, , Mangroves  swamp-swamp, Green-Brown-Black-Grey, 1.1m-5m, , tail
caiman lizard, , Rainforest-swampland, Black-Brown-beige-Yellow-Grey, 60cm-121cm, , tail
Cairn Terrier, Great Britain, , , 25.4cm, , 
Camel, , Arid desert-scrubland, Cream-beige-Brown-Black, 2.2m-3.5m, daytime, 
Canaan Dog, Israel, , , 61cm, , 
Capybara, , Dense vegetation close to freshwater, Brown-Yellow-Red-Grey, 100cm-130cm, Nocturnal-twilight, 
caracal, , Dry woodland-savannah, beige-Brown-Black, 65cm-90cm, , 
Carolina Dog, North America, , , 56cm, , 
cassowary, , Wet tropical forests, Blue-Yellow-Black-beige, 1.5m-2m, , 
cat, , , , 35cm, , 
Caterpillar, , Quiet forests-pastures, Yellow-Black-Orange-Red-Green-Blue-White. Brown, 30-60mm, , 
catfish, Warm freshwater, Fast-flowing rivers-lakes, Brown-Black-Yellow-White-beige-Grey, 1cm-270cm, , 
Cavalier King Charles Spaniel, Great Britain, , , 33cm, , 
Centipede, , deciduous forest-domestic, Yellow-Black-Orange-Red-White-Brown, 0.003-0.300, ,many legs
Cesky Fousek, Czech Republic, , , 66cm, , 
chameleon, , Tropical forests-desert, Green-Brown-Black-Yellow-Red-beige, 2.8cm-68.5cm, , 
chamois, , Mountainous-rocky terrain, Brown-Grey-Black-beige-White, 75cm-80cm, Herd, 
Cheetah, , Open grassland, Yellow-beige-Brown-Black, 115cm-136cm, daytime, 
Chesapeake Bay Retriever, North America, , , 66cm, , 
chicken, , Open woodland-sheltered grassland, Red-Black-Brown-White-Yellow-Orange, 30cm-45cm, Flock, 
Chihuahua, Mexico, , , 23cm, , 
Chimpanzee, , Tropical forest-woody savanna, Black-Brown, 1m-1.7m, daytime, 
chinchilla, , Dry-mountainous regions, Beige-Brown-Grey, 25cm-35cm, , leg
Chinese Crested Dog, China, , , 33cm, , 
Chinook, North America, , , 69cm, , 
chinstrap penguin, , Rocky Antarctic Islands, Black-White-Grey, 60cm-68cm, Colony, 
chipmunk, , Forest-thick woodland, Beige-Brown-Black-Yellow, 10cm-18cm, , 
Chow Chow, China, , , 50cm, , 
Cichlid, African Lakes, African Great Lakes, Black-White-Yellow-Orange-Silver-Blue-Green-Red, 2.5cm-1m, , 
Clouded Leopard, , Dense tropical forest-jungle, Yellow-Grey-Tawny-Black-Brown, 60cm-110cm, Nocturnal-twilight, 
Clown Fish, Indian  Pacific Oceans, Tropical coral reefs, Black-White-Orange-Red-Yellow, 10cm-18cm, , 
Clumber Spaniel, Great Britain, , , 50cm, , 
coati, , Forests  grassland  desert, Black-Brown-White-Grey-Red-beige, 33-60cm, Band, 
Cockroach, , Anywhere-everywhere, Brown-Black-beige, 1.5-5.0cm, , 
collared peccary, , Deserts-Tropical Rainforests, Dark Grey, 1.16m-1.52m, Bands of 6-12, 
Collie, Great Britain, , , 66cm, , 
common buzzard, , Countryside-woodland, White-Black-Grey-Brown, 51cm-57cm, , 
common frog, , Forests  rivers-swamp, Black-Green-Grey-Brown, 6cm-10cm, , leg
common loon, , Freshwater lakes in cooler climates, White-Black-Grey-Brown, 63cm-81cm, Flock, 
common toad, , Forests  woodlands-swamp, Black-Green-Grey-Brown-Yellow, 10cm-18cm, , 
Coral, , Forest-thick woodland, Multi-coloured, 1cm-3m, , 
cottontop tamarin, , Lowland tropical forest, Black-White-Brown-beige, 18cm-30cm, Troop, tail
cougar, , Forest-mountainous regions, beige-Black-Brown, 1.5m-2.75m, , 
cow, , Forest-grassland, Brown-Black-White, 1.5m-1.8m, Herd, 
coyote, , Forests  plains-deserts, Brown-Grey-beige, 75cm-90cm, Pack, tail
crab, , Coral reefs-coastline, Red-Brown-Orange-Blue, 1cm-400cm, , leg
crab eating macaque, , Rainforest-tropical jungle, Grey-Brown-White-Yellow, 38cm-55cm, Troop, tail
crane, , Temperate wetlands, White-Black-Grey-Brown-Red-Blue, 1m-1.4m, Flock, 
crested penguin, , Rocky Antarctic Islands, Black-White-Grey-Yellow, 60cm-68cm, Colony, 
crocodile, , Warm  quiet-murky water, Brown-Green-Grey, 1m-7m, , 
cross river gorilla, , Rainforest-dense jungle, Black-Grey, , Troop, 
Curly Coated Retriever, Great Britain, , , 66cm, , 
cuscus, , Tropical rainforest-mangroves, Black-Brown-beige-White-Cream-Grey, 15cm-60cm, , tail
Cuttlefish, , Coastal-deeper waters, Green-Red-Blue-Yellow-Orange-Brown-Pink-White, 15cm-50cm, , 
Dachshund, Germany, , , 38cm, , 
Dalmation, Yugoslavia, , , 58cm, , 
darwins frog, , Beech-tree forests-in fields, Black-Green-Grey-Brown-beige, 2.5cm-3.5cm, , 
deer, , Dense forest-planted areas, Brown-beige-White-Orange, 60cm-105cm, Herd, 
desert tortoise, , Sandy desert plains-rocky hills, Black-Brown-beige-Yellow, 25cm-36cm, , 
Deutsche Bracke, Germany, , , 53cm, , 
dhole, , Dry forest-thick jungle, Grey-Black-White-Brown-beige-Yellow-Red, 75cm-110cm, Pack, tail
dingo, , Desert  wet-dry forests, beige-Black-Brown-Grey-Red-Yellow, 100cm-125cm, Pack, tail
Discus, , Deep  slow-moving waters, Blue-Red-Green-Yellow-Orange-Black-Brown, 20cm-25cm, daytime, 
Doberman Pinscher, Germany, , , 71cm, , 
dodo, , Tropical forest, Grey-Black-White-Brown, 1m, Flock, 
dog, , , , 50cm, , 
Dogo Argentino, Argentina, , , 68.5cm, , 
Dogue De Bordeaux, France, , , 68.5cm, , 
dolphin, , Temperate coastal waters  harbours-bays, Black-White-Grey, 2m-4m, Pod, 
donkey, , Arid forests-deserts, Grey-Brown-Black, 90cm-130cm, Herd, 
dormouse, , Dense woodlands-shrub land, Grey-Black-White-Brown-beige-Yellow, 6cm-19cm, , tail
Dragonfly, , Wetlands-close to water, Yellow-Black-Orange-Red-White. Brown-Blue, 2.4-10cm, , 
Drever, Sweden, , , 40cm, , 
duck, , Rivers  lakes-woodland wetlands, Green-Black-Grey-Brown-White-Yellow, 30cm-50cm, Pack, 
dugong, , Warmer tropical waters-sea grass forests, Brown-Grey, 2.7m-3m, , tail
Dunker, Norway, , , 53cm, , 
Dusky Dolphin, , Cooler waters near continental shelves, Grey-Blue-Black-White, 1.6m -2.1m, daytime-Nocturnal, 
Dwarf Crocodile, , Rainforest rivers-swamp, Black-Grey-Yellow, 1.7m-1.9m, Nocturnal, 
eagle, , Open waters like rivers  lakes-coastal regions, Black-Grey-Brown-White-Yellow, 40cm-100cm, , 
Earwig, , Grass-woodlands, Black. Brown-Yellow-beige, 1cm-3cm, , 
eastern gorilla, , Tropical forest-jungles in mountainous regions, Black-Brown-Grey, , Social, 
eastern lowland gorilla, , Tropical forest-jungles in mountainous regions, Black-Brown-Grey, , Social, 
echidna, , Cool-dry forests, Brown-Black-White, 35cm-52cm, , 
Edible Frog, , Woodland swamp-ponds, Brown-Green-Black-beige, 5cm-11cm, daytime, leg
Egyptian Maus, Egypt, , Blue-Lilac-Grey-White, , , 
electric eel, , River in the Amazon, Black-White-Purple-Blue, 2.5m, , 
elephant, , Rainforest-flood plains, Grey, 2m-3.6m, Herd, 
elephant seal, , Warm coastal waters close to land, Brown-Black-beige-Grey, 3m-5m, Herd, 
elephant shrew, , Forest  woodland-grassland, Black-Brown-Grey-White-beige, 10cm-30cm, , leg
Emperor Penguin, , Compact sea-ice-ocean, Black-White-Yellow-Orange, 100cm-120cm, daytime, 
emperor tamarin, , Lowland tropical forest, Black-Grey-White-Brown, 18cm-30cm, Troop, tail
emu, , Open grassland with bushes close to water, Black-Grey-Brown, 1.5m-1.9m, Flock, 
English Cocker Spaniel, Great Britain, , , 43cm, , 
English Shepherd, North America, , , 58cm, , 
English Springer Spaniel, Great Britain, , , 50cm, , 
Entlebucher Mountain Dog, Switzerland, , , 50cm, , 
Epagneul Pont Audemer, France, , , 58cm, , 
Eskimo Dog, Canada, , , 68cm, , 
Estrela Mountain Dog, Portugal, , , 68cm, , 
falcon, , High areas like mountains-cliffs, Black-Grey-Brown-White-Yellow, 22cm-40cm, , 
fennec fox, , Sandy Desert, Sandy-White, 35cm-40cm, , 
ferret, , Forest-grassland, Brown-Black-beige-Grey, 40cm-50cm, , 
Field Spaniel, Great Britain, , , 46cm, , 
fin whale, , Deep offshore waters, Grey-Black-White-Blue, 6.5m-24m, Herd,
Finnish Spitz, Finland, , , 50cm, , 
fire bellied toad, , Forests  jungle-swamp, Black-Green-Grey-Brown-Yellow-Orange-Red, 4cm-7cm, , 
fish, , All freshwater-saltwater habitats, Black-White-Yellow-Orange-Silver-Blue-Green-Red, 2.5cm-1m, , 
Fishing Cat, , Variety of wetland habitats, Olive-Grey-Black, 57cm-85cm, Nocturnal, 
flamingo, , Large lakes-plant less lagoons, Pink-Orange-Blue-White, 100cm-150cm, Flock, leg
Flat Coated Retriever, Great Britain, , , 58cm, , 
Flounder, Atlantic and Pacific Oceans, Tropical coastal waters, Brown-Black-Yellow-White-beige, 12.5cm-64cm, , 
Fly, , Close to organic waste, Black-Brown-Blue, 2.5-3cm, , 
flying squirrel, , Forest-woodland, Black-Brown-Grey-White-beige, 20cm-30cm, , 
Fossa, , Dense tropical forest, Red-Brown-Black, 61cm-80cm, Nocturnal, 
fox, , Woodland areas-urban parks, Brown-Black-beige-Red, 40cm-83cm, , tail
Fox Terrier, Great Britain, , , 38cm, , 
French Bulldog, France, , , 30cm, , 
frigatebird, , Tropical coasts-islands, Black-White-Brown-Red, 65cm-100cm, Colony, 
frilled lizard, , Tropical forests-woodland, Black-Brown-beige-Yellow, 60cm-100cm, , tail
frog, , Rainforest-swampland, Multi-coloured, 0.1cm-30cm, , 
fur seal, , Cold waters-rocky land, Brown-Black-Grey, 1.5m-2m, Herd, 
galapagos penguin, , Rocky Ocean Islands, Black-White-Grey, 48cm-50cm, Colony, 
galapagos tortoise, , Volcanic lowlands-shrub land, Brown-Grey, 1-1.2m, , 
Gar, American waters, Lakes-slow-moving rivers, Grey-Blue-Black-Brown-Yellow, 0.6m-3m, , 
gecko, , Rocky deserts-mountainous regions, beige-Black-Brown-White-Green-Blue-Orange-Yellow, 0.1-40cm, , 
gentoo penguin, , Rocky Antarctic Islands, Black-White-Grey-Orange, 51cm-90cm, Colony, 
geoffroys tamarin, , Lowland tropical forest, Grey-Black-White-Brown, 18cm-30cm, Troop, tail
gerbil, , Dry deserts, Brown-Grey-White-Black-beige, 7-15cm, , 
German Pinscher, Germany, , , 48cm, , 
German Shepherd, Germany, , , 66cm, , 
gharial, , Deep  fast-flowing rivers, Black-Grey-Brown, 3.6-5m, , 
giant african land snail, , Humid forest areas, Brown-Yellow-Red, 15-30cm, , 
Giant Clam, , Saltwater seafloors, Green-Red-Blue-Yellow-Orange-Brown-Pink, 90-120cm, , 
Giant Panda  Giant Panda Bear, , High-altitude  moist bamboo forest, Black-White-Brown, 1.5m-1.8m, daytime-Nocturnal, 
Giant Schauzer, Germany, , , 68cm, , 
gibbon, , Dense forest-jungle, Black-Brown-White-Grey-Yellow, 50-90cm, Troop, 
gila monster, , Shrubland  desert-woodland, beige-Brown-Black-Grey-White, 30-60cm, , 
Giraffe, , Open woodland-savannah, White-beige-Red-Brown-Black, 4m-6m, daytime, 
glass lizard, , Sandy coastal regions, Black-Brown-beige-Yellow-Grey-Green, 60cm-121cm, , tail
Glow Worm, , Undisturbed woodland-caves, Black-Brown-Yellow-Green-Red, 2.5-5.0cm, , 
goat, , Dry woodland-mountainous regions, Brown-Black-White-beige, 40-80cm, Herd, 
golden lion tamarin, , Lowland tropical forest, Yellow-Orange-Black-Brown, 20-33.5cm, Troop, 
Golden Oriole, , Woodlands-open forests, Yellow-Black-Green-Brown, 20cm-24cm, daytime, 
Golden Retriever, Great Britain, , , 61cm, , 
goose, , Large ponds  rivers-lake shores, Grey-Brown-Black-White, 60cm-120cm, Flock, 
gopher, , Woodland-grass prairies, Brown-beige, 12-30cm, Social, 
gorilla, , Rainforest-dense jungle, Black-Grey, 1.4-1.7m, Troop, 
Grasshopper, , Fields-meadows, Brown-Yellow-Green, 38-50mm, , 
Great Dane, Germany, , , 81cm, , 
great white shark, , Temperate-coastal waters, Black-Grey-White, 5.5-7m, , 
Greater Swiss Mountain Dog, Switzerland, , , 68cm, , 
green bee eater, , grassland-open forests, Green-Orange-Blue-Brown-Yellow-Black-White, 16cm-18cm, , 
Greenland Dog, Norway, , , 61cm, , 
grey mouse lemur, , Tropical Woodland, Grey-Black-Brown-White, 25cm-28cm, , 
grey reef shark, , Warm waters-coral reefs, Grey-White-Black, 1.5-2m, , 
grey seal, , Cool waters-rocky shores, Grey-beige, 2-3.3m, Herd, 
Greyhound, Great Britain, , , 76cm, , 
grizzly bear, , Forest-mountainous regions, Dark brown-Black, 2.1m-3m, , 
grouse, , Forest  shrubland-grassy plains, Black-White-Brown-Yellow-Green-Blue-Red, 31cm-95cm, Flock, tail-leg
guinea fowl, , Forest  desert-grassland, Black-White-Brown-Red-Yellow-White-Grey, 40cm-71cm, Flock, 
guinea pig, , Tropical grassland areas, Grey-beige-Brown-Black-White-Orange, 20-25cm, , 
Guppy, South America, Rivers in the Amazon, , 4cm-7.6cm, , fins
hammerhead shark, , Warm waters-continental shelves, Grey-Brown-White, 3.5-6m, Herd, 
hamster, , Dry deserts-sand dunes, beige-Brown-White-Black, 5-28cm, , 
hare, , Dense vegetation-open fields, beige-Brown-White-Black, 36-71cm, , 
Harrier, Great Britain, , , 55cm, , 
Havanese, Cuba, , , 25cm, , 
hedgehog, , Dense vegetation-woodland, beige-Brown-Grey, 16-35cm, , 
Hercules Beetle, , Tropical Rainforest, Black-Brown-Green-Blue-White-Yellow, 4cm-17cm, , 
Hermit Crab, , Coastal waters, Green-Red-Blue-Yellow-Orange-Brown-Pink-White, 2-10cm, , 
heron, , Wetland regions, Brown-Black-White-Grey, 85cm-140cm, , leg
highland cattle, , Mountainous-wet grassland, beige-Brown-Orange, 0.9-1.1m, Herd, 
Himalayan, North America, , Blue-Lilac-Fawn-Cream, , , 
Hippopotamus, , Lakes  rivers-wetlands, Grey-Brown-Black-Pink, 2m-5m, Nocturnal, 
Honey Bee, , Sheltered forests-meadows, Brown-Yellow-Black, 5-15mm, , 
Horn Shark, North Pacific, Warm continental shelves, Grey-Brown-Black-Yellow, 70cm-120cm, , 
horned frog, , Rainforest-tropical swamplands, Brown-White-Yellow, 14-20cm, , 
horse, , Small forests-grassland, Brown-White-Black, 142-163cm, Herd, 
Horseshoe Crab, , Muddy bottoms of shallow water, Black. Brown-Yellow-beige-Silver-White, 20cm-60cm, , tail
howler monkey, , Rainforest-dense jungle, Brown-beige-Black, 56-92cm, Troop, 
human, , Worldwide based near rivers, Brown-beige-Black-White-Olive, 1.5-1.8m, Group, 
humboldt penguin, , Rocky Ocean Islands, Black-White-Grey, 60cm-68cm, Colony, 
hummingbird, , Rainforest-tropical jungles, Green-Brown-beige-Red-White-Grey, 5cm-20cm, , 
humpback whale, , Open ocean-coastal regions, Black-white-grey, 12-16m, Herd, 
hyena, , Open savanna plains-grassland, Brown-beige-Black, 63.5-89cm, Pack, 
ibis, , swamp  wetlands-swamp, Black-White-Grey-Brown, 50cm-65cm, Flock, 
Ibizan Hound, Spain, , , 68cm, , 
iguana, , Lowland tropical rainforest near water, Green-Brown-Yellow, 0.91-1.83m, , 
impala, , Wooded savanna-dense bushland, beige-Brown-White, 68-92cm, Herd, 
indian elephant, , Rainforest-tropical woodland, Grey-Brown-Black, 2m-3m, Herd, 
indian palm squirrel, , Thick forest-tropical jungles, beige-Brown-Yellow, 15-20cm, , 
indian rhinoceros, , Tropical bushland  grassland-savannas, Brown-Grey-Black, , , 
indian star tortoise, , Dry scrub forest, Green-Black-Brown-beige-Yellow, 20cm-30cm, , 
indochinese tiger, , Secluded mountainous forests, Orange-Black-White, 2.3m-2.8m, , 
Indri, , Lowland rainforest, Grey-Black-Brown-White, 64cm-72cm, daytime, 
insect, , , , 2cm, Colony, 
Irish Setter, Ireland, , , 68cm, , 
Irish WolfHound, Ireland, , , 86cm, , 
Jack Russel, Germany, , , 25cm, , 
jackal, , Grass plains-dry woodland, beige-Brown-Grey-White, 90-105cm, Pack, 
Jaguar, , Rainforest  swamp-floodplains, beige-Yellow-Brown-White-Black, 1.1m-1.9m, twilight, 
Japanese Chin, Japan, , , 25cm, , 
Japanese Macaque, , Tropical forest-mountains, Brown-Grey, 80cm-95cm, daytime, 
javan rhinoceros, , Tropical bushland  grassland-rainforest, Brown-Grey-Black, , , 
Javanese, North America, , Blue-Lilac-Fawn-Cream-Brown-Black-White, , , 
jellyfish, , Shallow-deep ocean, White-Blue-Pink-Yellow-Green-Purple-Red-Orange, 12-200cm, Group, 
kakapo, , Areas of natural vegetation-dense jungle, Green-Brown, 50-60cm, , 
kangaroo, , Dry forests  desert-grassland, beige-Brown-Grey, 0.6-1.5m, Sociable, 
keel billed toucan, , Lowland rainforest-tropical forest borders, Red-Green-Yellow-Orange-Black, 42cm-55cm, Sociable, 
killer whale, , Ocean-coastal waters worldwide, Black-White, 5-8m, Pod, 
king crab, , Cold coastal waters-continental shelves, Blue-Red-Orange, 0.6-1.8m, , 
king penguin, , Rocky Antarctic Islands, Black-White-Grey-Yellow, 60cm-90cm, Colony, 
kingfisher, , Lowland freshwater areas-river estuaries, Red-Green-Yellow-Orange-Black-Blue-Brown, 10cm-37.5cm, , 
kiwi, , Forests-dense woodland, Brown-Grey-White, 25cm-45cm, , 
Koala, , Eucalyptus  inland-coastal forests, Grey-Grey-Brown-White-Black, 60cm-85cm, Nocturnal, 
Komodo Dragon, , Open woodland-hillsides, Grey-Brown-Cream-Grey, 2m-3.1m, daytime, 
kudu, , Shrub woodland-savanna plains, Brown-Grey-Red, 0.8-1.2m, Herd, 
Labradoodle, Australia, , , 50cm, , 
Labrador Retriever, Great Britain, , , 61cm, , 
Ladybird, , Woodland  grassland-meadows, Red-Black-Yellow-Orange-White-Brown, 1-10mm, , 
leaf tailed gecko, , Dense tropical jungle, Green-Black-Brown-beige, 10cm-30cm, , 
lemming, , Arctic tundra-woodland areas, Grey-Brown-White, 6.3-15cm, , 
lemur, , Dry forest-tropical jungle, Grey-Brown-White-Black, 9-100cm, Group, 
Leopard, , Rainforest  grassland-mountainous regions, Yellow-Golden-Black-Dark Brown, 100cm-190cm, Nocturnal, 
